iter	Logloss
0	0.6665998101
1	0.6426595485
2	0.622559
3	0.6025724877
4	0.5873012633
5	0.5721430532
6	0.5574377337
7	0.5440970557
8	0.535050588
9	0.5246982232
10	0.5134523661
11	0.5055650746
12	0.4953881782
13	0.4868965955
14	0.4795991645
15	0.4729116419
16	0.4660195737
17	0.4590360248
18	0.4542995246
19	0.4484689471
20	0.4437675991
21	0.4394472423
22	0.4349344285
23	0.4309991226
24	0.4285672197
25	0.4252903168
26	0.4217017109
27	0.4178749023
28	0.4146924945
29	0.4135777517
30	0.4119946374
31	0.4100711909
32	0.4087535795
33	0.4077615762
34	0.4059905383
35	0.4043484566
36	0.4030230685
37	0.4015776633
38	0.4004093775
39	0.3994380203
40	0.3985303951
41	0.3964638361
42	0.395355726
43	0.3951571902
44	0.393971663
45	0.3925272101
46	0.391026886
47	0.389437563
48	0.387725452
49	0.386747279
50	0.385498167
51	0.3845611423
52	0.3831286193
53	0.3818648554
54	0.3811454134
55	0.3803269778
56	0.379017121
57	0.3780987271
58	0.3773951262
59	0.3768651197
60	0.3766118091
61	0.3761499416
62	0.3755428304
63	0.3745897322
64	0.3741038306
65	0.3735437219
66	0.3726887333
67	0.3726064235
68	0.3723271837
69	0.3722181301
70	0.371755872
71	0.3711874934
72	0.3702145793
73	0.370067447
74	0.3695990889
75	0.369400595
76	0.3688046788
77	0.3682085372
78	0.3677064516
79	0.3676338741
80	0.3673989026
81	0.366617595
82	0.3661010923
83	0.3659596886
84	0.3659330522
85	0.3657349528
86	0.3653779421
87	0.3648493861
88	0.3643951143
89	0.3643648947
90	0.3640019353
91	0.3633275054
92	0.3631111005
93	0.3629476631
94	0.3627046899
95	0.3626526048
96	0.3623484852
97	0.3622614558
98	0.3619741572
99	0.3615675001
100	0.3614994468
101	0.361426205
102	0.3610155379
103	0.3606223491
104	0.3602846234
105	0.3601233587
106	0.3600156885
107	0.3598136256
108	0.35918701
109	0.3584797573
110	0.3575799602
111	0.3573886644
112	0.3571463858
113	0.3565271003
114	0.3563299812
115	0.3558522621
116	0.3552070054
117	0.3545061886
118	0.3538957407
119	0.3534963451
120	0.3531942906
121	0.3525416034
122	0.3525189391
123	0.3519837287
124	0.3518537559
125	0.3516254479
126	0.3508003373
127	0.3504344297
128	0.3502433444
129	0.3495209354
130	0.3493626648
131	0.3489968459
132	0.3487832937
133	0.3486445076
134	0.3482384506
135	0.3480726802
136	0.3478296186
137	0.3472158023
138	0.3470694817
139	0.3467088293
140	0.345771496
141	0.3454864872
142	0.344940132
143	0.3444902172
144	0.344143183
145	0.3437673417
146	0.3435496774
147	0.3427721518
148	0.3426904551
149	0.3425452764
150	0.3420962964
151	0.3418028248
