iter	Passed	Remaining
0	16	12120
1	33	12293
2	53	13151
3	72	13350
4	92	13474
5	110	13458
6	129	13473
7	148	13539
8	167	13538
9	186	13555
10	205	13552
11	224	13562
12	244	13573
13	262	13556
14	281	13525
15	300	13503
16	319	13529
17	339	13536
18	358	13512
19	376	13490
20	395	13467
21	414	13453
22	433	13429
23	451	13400
24	470	13374
25	488	13343
26	506	13312
27	525	13282
28	545	13299
29	565	13308
30	583	13272
31	603	13277
32	622	13250
33	637	13164
34	656	13150
35	675	13126
36	693	13110
37	712	13090
38	731	13078
39	750	13062
40	769	13043
41	788	13030
42	807	13008
43	826	12993
44	844	12973
45	863	12956
46	882	12930
47	900	12903
48	918	12881
49	937	12855
50	955	12837
51	974	12824
52	994	12819
53	1015	12820
54	1034	12811
55	1047	12718
56	1067	12719
57	1087	12709
58	1106	12691
59	1124	12671
60	1144	12661
61	1156	12569
62	1175	12555
63	1194	12539
64	1212	12518
65	1232	12508
66	1250	12489
67	1269	12467
68	1284	12413
69	1292	12295
70	1310	12273
71	1329	12259
72	1348	12244
73	1359	12165
74	1378	12149
75	1396	12128
76	1415	12112
77	1433	12093
78	1451	12072
79	1463	12000
80	1481	11983
81	1500	11965
82	1518	11949
83	1537	11935
84	1546	11842
85	1565	11829
86	1583	11814
87	1603	11808
88	1624	11811
89	1643	11793
90	1661	11777
91	1681	11771
92	1700	11757
93	1719	11744
94	1738	11731
95	1746	11645
96	1765	11628
97	1783	11612
98	1801	11593
99	1820	11576
100	1838	11559
101	1850	11499
102	1868	11485
103	1887	11471
104	1906	11457
105	1925	11442
106	1943	11424
107	1961	11405
108	1979	11387
109	1998	11370
110	2016	11355
111	2035	11337
112	2053	11320
113	2071	11301
114	2090	11287
115	2108	11271
116	2127	11255
117	2148	11250
118	2166	11234
119	2185	11220
120	2205	11208
121	2225	11199
122	2236	11147
123	2255	11131
124	2273	11114
125	2292	11096
126	2310	11080
127	2329	11066
128	2348	11049
129	2367	11034
130	2385	11019
131	2404	11000
132	2423	10986
133	2443	10979
134	2462	10960
135	2480	10942
136	2498	10924
137	2517	10907
138	2535	10889
139	2553	10870
140	2571	10852
141	2590	10836
142	2609	10820
143	2628	10805
144	2647	10789
145	2666	10773
146	2684	10756
147	2703	10739
148	2722	10723
149	2740	10706
150	2758	10688
151	2778	10676
152	2797	10658
153	2816	10642
154	2836	10632
155	2855	10616
156	2873	10596
157	2891	10579
158	2910	10561
159	2928	10543
160	2946	10524
161	2955	10471
162	2974	10455
163	2993	10439
164	3011	10421
165	3030	10404
166	3048	10386
167	3066	10368
168	3081	10339
169	3100	10322
170	3119	10305
171	3137	10289
172	3156	10271
173	3174	10252
174	3192	10234
175	3211	10218
176	3230	10201
177	3241	10161
178	3259	10143
179	3278	10126
180	3296	10108
181	3316	10093
182	3334	10077
183	3355	10065
184	3375	10052
185	3394	10037
186	3414	10024
187	3433	10007
188	3452	9990
189	3470	9974
190	3489	9956
191	3508	9939
192	3526	9922
193	3545	9905
194	3564	9889
195	3583	9872
196	3602	9855
197	3621	9839
198	3639	9820
199	3657	9802
200	3676	9785
201	3695	9768
202	3713	9750
203	3732	9733
204	3750	9715
205	3769	9697
206	3787	9680
207	3806	9662
208	3825	9645
209	3843	9627
210	3862	9611
211	3882	9596
212	3901	9580
213	3920	9563
214	3939	9546
215	3957	9528
216	3976	9510
217	3994	9492
218	4013	9474
219	4031	9456
220	4049	9437
221	4068	9420
222	4087	9403
223	4106	9385
224	4124	9367
225	4143	9350
226	4162	9333
227	4180	9315
228	4199	9297
229	4217	9278
230	4235	9260
231	4254	9242
232	4273	9224
233	4291	9207
234	4310	9189
235	4329	9172
236	4347	9154
237	4366	9137
238	4385	9119
239	4403	9101
240	4423	9086
241	4442	9069
